municipio_id,stat_date,type_establecimiento,count,seats
269,"Sat, 01 Jan 2011 00:00:00",Hotel,2,33
269,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
270,"Sat, 01 Jan 2011 00:00:00",Hotel,1,7
271,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,29
272,"Sat, 01 Jan 2011 00:00:00",Hotel,2,54
272,"Sat, 01 Jan 2011 00:00:00",TurismoRural,7,46
272,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,6
274,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,22
275,"Sat, 01 Jan 2011 00:00:00",Hotel,1,17
275,"Sat, 01 Jan 2011 00:00:00",Camping,2,364
277,"Sat, 01 Jan 2011 00:00:00",Hotel,1,17
278,"Sat, 01 Jan 2011 00:00:00",Hotel,4,92
278,"Sat, 01 Jan 2011 00:00:00",Camping,2,736
278,"Sat, 01 Jan 2011 00:00:00",TurismoRural,18,136
278,"Sat, 01 Jan 2011 00:00:00",Apartamento,3,19
279,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,22
280,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
281,"Sat, 01 Jan 2011 00:00:00",Hotel,1,13
281,"Sat, 01 Jan 2011 00:00:00",TurismoRural,5,49
282,"Sat, 01 Jan 2011 00:00:00",TurismoRural,12,90
282,"Sat, 01 Jan 2011 00:00:00",Apartamento,3,33
283,"Sat, 01 Jan 2011 00:00:00",Camping,1,165
284,"Sat, 01 Jan 2011 00:00:00",Hotel,2,17
284,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,14
284,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,24
285,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
286,"Sat, 01 Jan 2011 00:00:00",Hotel,7,314
286,"Sat, 01 Jan 2011 00:00:00",Camping,1,144
287,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,20
288,"Sat, 01 Jan 2011 00:00:00",Hotel,1,41
289,"Sat, 01 Jan 2011 00:00:00",Hotel,2,46
289,"Sat, 01 Jan 2011 00:00:00",Camping,1,100
289,"Sat, 01 Jan 2011 00:00:00",TurismoRural,8,48
291,"Sat, 01 Jan 2011 00:00:00",Hotel,2,36
291,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,7
292,"Sat, 01 Jan 2011 00:00:00",Hotel,1,18
293,"Sat, 01 Jan 2011 00:00:00",Hotel,1,22
293,"Sat, 01 Jan 2011 00:00:00",TurismoRural,4,29
294,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,6
295,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,4
296,"Sat, 01 Jan 2011 00:00:00",Hotel,1,12
297,"Sat, 01 Jan 2011 00:00:00",Hotel,5,129
299,"Sat, 01 Jan 2011 00:00:00",TurismoRural,7,61
300,"Sat, 01 Jan 2011 00:00:00",Hotel,3,60
300,"Sat, 01 Jan 2011 00:00:00",Camping,1,156
300,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,15
300,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,34
301,"Sat, 01 Jan 2011 00:00:00",TurismoRural,28,208
301,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,23
302,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,8
302,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,16
303,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,19
304,"Sat, 01 Jan 2011 00:00:00",Hotel,2,32
305,"Sat, 01 Jan 2011 00:00:00",Hotel,1,22
305,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
306,"Sat, 01 Jan 2011 00:00:00",Hotel,1,50
307,"Sat, 01 Jan 2011 00:00:00",Hotel,2,33
307,"Sat, 01 Jan 2011 00:00:00",TurismoRural,6,51
307,"Sat, 01 Jan 2011 00:00:00",Apartamento,4,76
310,"Sat, 01 Jan 2011 00:00:00",Hotel,1,22
310,"Sat, 01 Jan 2011 00:00:00",Camping,1,132
310,"Sat, 01 Jan 2011 00:00:00",TurismoRural,13,99
311,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,16
312,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,5
313,"Sat, 01 Jan 2011 00:00:00",Hotel,3,123
313,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,24
313,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,14
314,"Sat, 01 Jan 2011 00:00:00",Hotel,7,168
314,"Sat, 01 Jan 2011 00:00:00",Camping,1,210
314,"Sat, 01 Jan 2011 00:00:00",TurismoRural,9,66
314,"Sat, 01 Jan 2011 00:00:00",Apartamento,1,5
315,"Sat, 01 Jan 2011 00:00:00",Hotel,3,84
315,"Sat, 01 Jan 2011 00:00:00",TurismoRural,2,13
316,"Sat, 01 Jan 2011 00:00:00",Hotel,1,18
316,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,4
317,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,10
319,"Sat, 01 Jan 2011 00:00:00",Hotel,1,16
319,"Sat, 01 Jan 2011 00:00:00",TurismoRural,3,31
319,"Sat, 01 Jan 2011 00:00:00",Apartamento,2,30
320,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,11
321,"Sat, 01 Jan 2011 00:00:00",Hotel,1,29
321,"Sat, 01 Jan 2011 00:00:00",TurismoRural,1,12
