municipio_id,stat_date,poblacion
33,"Thu, 01 Jan 2004 00:00:00",279
33,"Fri, 31 Dec 1909 23:00:00",479
33,"Wed, 31 Dec 1919 23:00:00",547
33,"Tue, 31 Dec 1929 23:00:00",590
33,"Sun, 31 Dec 1939 23:00:00",613
33,"Sun, 01 Jan 1950 00:00:00",559
33,"Fri, 01 Jan 1960 00:00:00",591
33,"Thu, 01 Jan 1970 00:00:00",521
33,"Thu, 01 Jan 1981 00:00:00",349
34,"Mon, 01 Jan 1900 00:00:00",638
34,"Tue, 01 Jan 1991 00:00:00",404
34,"Mon, 01 Jan 2001 00:00:00",315
34,"Thu, 01 Jan 2004 00:00:00",292
34,"Fri, 31 Dec 1909 23:00:00",679
34,"Wed, 31 Dec 1919 23:00:00",883
34,"Tue, 31 Dec 1929 23:00:00",1733
34,"Sun, 31 Dec 1939 23:00:00",1522
34,"Sun, 01 Jan 1950 00:00:00",1342
34,"Fri, 01 Jan 1960 00:00:00",1125
34,"Thu, 01 Jan 1970 00:00:00",764
34,"Thu, 01 Jan 1981 00:00:00",523
35,"Mon, 01 Jan 1900 00:00:00",370
35,"Tue, 01 Jan 1991 00:00:00",166
35,"Mon, 01 Jan 2001 00:00:00",127
35,"Thu, 01 Jan 2004 00:00:00",144
35,"Fri, 31 Dec 1909 23:00:00",409
35,"Wed, 31 Dec 1919 23:00:00",423
35,"Tue, 31 Dec 1929 23:00:00",466
35,"Sun, 31 Dec 1939 23:00:00",438
35,"Sun, 01 Jan 1950 00:00:00",454
35,"Fri, 01 Jan 1960 00:00:00",352
35,"Thu, 01 Jan 1970 00:00:00",306
35,"Thu, 01 Jan 1981 00:00:00",187
36,"Mon, 01 Jan 1900 00:00:00",1648
36,"Tue, 01 Jan 1991 00:00:00",462
36,"Mon, 01 Jan 2001 00:00:00",510
36,"Thu, 01 Jan 2004 00:00:00",523
36,"Fri, 31 Dec 1909 23:00:00",1647
36,"Wed, 31 Dec 1919 23:00:00",1667
36,"Tue, 31 Dec 1929 23:00:00",1648
36,"Sun, 31 Dec 1939 23:00:00",1528
36,"Sun, 01 Jan 1950 00:00:00",1333
36,"Fri, 01 Jan 1960 00:00:00",1043
36,"Thu, 01 Jan 1970 00:00:00",774
36,"Thu, 01 Jan 1981 00:00:00",579
37,"Mon, 01 Jan 1900 00:00:00",424
37,"Tue, 01 Jan 1991 00:00:00",344
37,"Mon, 01 Jan 2001 00:00:00",369
37,"Thu, 01 Jan 2004 00:00:00",363
37,"Fri, 31 Dec 1909 23:00:00",441
37,"Wed, 31 Dec 1919 23:00:00",430
37,"Tue, 31 Dec 1929 23:00:00",424
37,"Sun, 31 Dec 1939 23:00:00",368
37,"Sun, 01 Jan 1950 00:00:00",365
37,"Fri, 01 Jan 1960 00:00:00",295
37,"Thu, 01 Jan 1970 00:00:00",213
37,"Thu, 01 Jan 1981 00:00:00",446
38,"Mon, 01 Jan 1900 00:00:00",1983
38,"Tue, 01 Jan 1991 00:00:00",1075
38,"Mon, 01 Jan 2001 00:00:00",873
38,"Thu, 01 Jan 2004 00:00:00",849
38,"Fri, 31 Dec 1909 23:00:00",2388
38,"Wed, 31 Dec 1919 23:00:00",2467
38,"Tue, 31 Dec 1929 23:00:00",2250
38,"Sun, 31 Dec 1939 23:00:00",2166
38,"Sun, 01 Jan 1950 00:00:00",1971
38,"Fri, 01 Jan 1960 00:00:00",1709
38,"Thu, 01 Jan 1970 00:00:00",1524
38,"Thu, 01 Jan 1981 00:00:00",1269
39,"Mon, 01 Jan 1900 00:00:00",7699
39,"Tue, 01 Jan 1991 00:00:00",12642
39,"Mon, 01 Jan 2001 00:00:00",13431
39,"Thu, 01 Jan 2004 00:00:00",14704
39,"Fri, 31 Dec 1909 23:00:00",8397
39,"Wed, 31 Dec 1919 23:00:00",8596
39,"Tue, 31 Dec 1929 23:00:00",8961
39,"Sun, 31 Dec 1939 23:00:00",8691
39,"Sun, 01 Jan 1950 00:00:00",9812
39,"Fri, 01 Jan 1960 00:00:00",10166
39,"Thu, 01 Jan 1970 00:00:00",10851
39,"Thu, 01 Jan 1981 00:00:00",11651
40,"Mon, 01 Jan 1900 00:00:00",2409
40,"Tue, 01 Jan 1991 00:00:00",1240
40,"Mon, 01 Jan 2001 00:00:00",1250
40,"Thu, 01 Jan 2004 00:00:00",1245
40,"Fri, 31 Dec 1909 23:00:00",2504
40,"Wed, 31 Dec 1919 23:00:00",2647
40,"Tue, 31 Dec 1929 23:00:00",2173
40,"Sun, 31 Dec 1939 23:00:00",2016
40,"Sun, 01 Jan 1950 00:00:00",1748
40,"Fri, 01 Jan 1960 00:00:00",1552
40,"Thu, 01 Jan 1970 00:00:00",1591
40,"Thu, 01 Jan 1981 00:00:00",1317
41,"Mon, 01 Jan 1900 00:00:00",667
41,"Tue, 01 Jan 1991 00:00:00",188
41,"Mon, 01 Jan 2001 00:00:00",126
41,"Thu, 01 Jan 2004 00:00:00",128
41,"Fri, 31 Dec 1909 23:00:00",718
41,"Wed, 31 Dec 1919 23:00:00",759
41,"Tue, 31 Dec 1929 23:00:00",735
41,"Sun, 31 Dec 1939 23:00:00",766
41,"Sun, 01 Jan 1950 00:00:00",724
41,"Fri, 01 Jan 1960 00:00:00",573
41,"Thu, 01 Jan 1970 00:00:00",390
41,"Thu, 01 Jan 1981 00:00:00",283
42,"Mon, 01 Jan 1900 00:00:00",3119
42,"Tue, 01 Jan 1991 00:00:00",3234
42,"Mon, 01 Jan 2001 00:00:00",3339
42,"Thu, 01 Jan 2004 00:00:00",3495
42,"Fri, 31 Dec 1909 23:00:00",3575
42,"Wed, 31 Dec 1919 23:00:00",3654
42,"Tue, 31 Dec 1929 23:00:00",3809
42,"Sun, 31 Dec 1939 23:00:00",3429
42,"Sun, 01 Jan 1950 00:00:00",3208
42,"Fri, 01 Jan 1960 00:00:00",3406
42,"Thu, 01 Jan 1970 00:00:00",3058
42,"Thu, 01 Jan 1981 00:00:00",3112
43,"Mon, 01 Jan 1900 00:00:00",1530
43,"Tue, 01 Jan 1991 00:00:00",514
43,"Mon, 01 Jan 2001 00:00:00",449
43,"Thu, 01 Jan 2004 00:00:00",439
43,"Fri, 31 Dec 1909 23:00:00",1500
43,"Wed, 31 Dec 1919 23:00:00",1422
43,"Tue, 31 Dec 1929 23:00:00",1298
43,"Sun, 31 Dec 1939 23:00:00",1208
43,"Sun, 01 Jan 1950 00:00:00",1121
43,"Fri, 01 Jan 1960 00:00:00",1003
43,"Thu, 01 Jan 1970 00:00:00",788
43,"Thu, 01 Jan 1981 00:00:00",676
44,"Mon, 01 Jan 1900 00:00:00",257
44,"Tue, 01 Jan 1991 00:00:00",81
44,"Mon, 01 Jan 2001 00:00:00",37
44,"Thu, 01 Jan 2004 00:00:00",33
44,"Fri, 31 Dec 1909 23:00:00",247
44,"Wed, 31 Dec 1919 23:00:00",338
44,"Tue, 31 Dec 1929 23:00:00",367
44,"Sun, 31 Dec 1939 23:00:00",417
44,"Sun, 01 Jan 1950 00:00:00",442
44,"Fri, 01 Jan 1960 00:00:00",350
44,"Thu, 01 Jan 1970 00:00:00",178
44,"Thu, 01 Jan 1981 00:00:00",96
45,"Mon, 01 Jan 1900 00:00:00",227
45,"Tue, 01 Jan 1991 00:00:00",155
45,"Mon, 01 Jan 2001 00:00:00",205
45,"Thu, 01 Jan 2004 00:00:00",227
45,"Fri, 31 Dec 1909 23:00:00",225
45,"Wed, 31 Dec 1919 23:00:00",222
45,"Tue, 31 Dec 1929 23:00:00",208
45,"Sun, 31 Dec 1939 23:00:00",180
45,"Sun, 01 Jan 1950 00:00:00",144
